trial,nrows,nbins,filter,sketch_size,time (ns)
2,1000000,10,filter3,8,29344199.00
3,1000000,10,filter3,8,29087400.00
4,1000000,10,filter3,8,29287499.00
0,1000000,100,filter1,1,6308499.00
1,1000000,100,filter1,1,6395500.00
2,1000000,100,filter1,1,6316800.00
3,1000000,100,filter1,1,6567500.00
4,1000000,100,filter1,1,7310100.00
0,1000000,100,filter1,2,10651299.00
1,1000000,100,filter1,2,11012600.00
2,1000000,100,filter1,2,10744100.00
3,1000000,100,filter1,2,10834499.00
4,1000000,100,filter1,2,10573400.00
0,1000000,100,filter1,4,12755399.00
1,1000000,100,filter1,4,13307300.00
2,1000000,100,filter1,4,12693400.00
3,1000000,100,filter1,4,12995299.00
4,1000000,100,filter1,4,12629800.00
0,1000000,100,filter1,8,14565900.00
1,1000000,100,filter1,8,14371200.00
2,1000000,100,filter1,8,14190400.00
3,1000000,100,filter1,8,14248699.00
4,1000000,100,filter1,8,14371600.00
0,1000000,100,filter2,1,7543500.00
1,1000000,100,filter2,1,6796999.00
2,1000000,100,filter2,1,6551400.00
3,1000000,100,filter2,1,6947200.00
4,1000000,100,filter2,1,6834200.00
0,1000000,100,filter2,2,9181899.00
1,1000000,100,filter2,2,9347500.00
2,1000000,100,filter2,2,9199900.00
3,1000000,100,filter2,2,9178300.00
4,1000000,100,filter2,2,9184799.00
0,1000000,100,filter2,4,13030400.00
1,1000000,100,filter2,4,13199899.00
2,1000000,100,filter2,4,14103200.00
3,1000000,100,filter2,4,14147600.00
4,1000000,100,filter2,4,14480799.00
0,1000000,100,filter2,8,16208700.00
1,1000000,100,filter2,8,15213499.00
2,1000000,100,filter2,8,14764100.00
3,1000000,100,filter2,8,14845699.00
4,1000000,100,filter2,8,14604200.00
0,1000000,100,filter3,1,3538000.00
1,1000000,100,filter3,1,3171300.00
2,1000000,100,filter3,1,2982100.00
3,1000000,100,filter3,1,3067199.00
4,1000000,100,filter3,1,3231600.00
0,1000000,100,filter3,2,12346000.00
1,1000000,100,filter3,2,12064000.00
2,1000000,100,filter3,2,11924399.00
3,1000000,100,filter3,2,12030400.00
4,1000000,100,filter3,2,12413200.00
0,1000000,100,filter3,4,14582000.00
1,1000000,100,filter3,4,13946500.00
2,1000000,100,filter3,4,14941499.00
3,1000000,100,filter3,4,14108100.00
4,1000000,100,filter3,4,14299399.00
0,1000000,100,filter3,8,15316700.00
1,1000000,100,filter3,8,15313799.00
2,1000000,100,filter3,8,15757900.00
3,1000000,100,filter3,8,15831600.00
4,1000000,100,filter3,8,16024299.00
0,1000000,1000,filter1,1,5090000.00
1,1000000,1000,filter1,1,5065900.00
2,1000000,1000,filter1,1,5355300.00
3,1000000,1000,filter1,1,5509800.00
4,1000000,1000,filter1,1,4966900.00
0,1000000,1000,filter1,2,6834300.00
1,1000000,1000,filter1,2,6778700.00
2,1000000,1000,filter1,2,6750100.00
3,1000000,1000,filter1,2,6962500.00
4,1000000,1000,filter1,2,6984100.00
0,1000000,1000,filter1,4,9117100.00
1,1000000,1000,filter1,4,9322900.00
2,1000000,1000,filter1,4,9029700.00
3,1000000,1000,filter1,4,9890600.00
4,1000000,1000,filter1,4,9593900.00
0,1000000,1000,filter1,8,10981100.00
1,1000000,1000,filter1,8,10977400.00
2,1000000,1000,filter1,8,11573700.00
