trial,nrows,nbins,filter,sketch_size,time (ns)
0,100000,1000,filter1,2,1202600.00
1,100000,1000,filter1,2,1320600.00
2,100000,1000,filter1,2,1193800.00
3,100000,1000,filter1,2,1093300.00
4,100000,1000,filter1,2,1133600.00
0,100000,1000,filter1,4,1316300.00
1,100000,1000,filter1,4,1175400.00
2,100000,1000,filter1,4,1256800.00
3,100000,1000,filter1,4,1223400.00
4,100000,1000,filter1,4,1231000.00
0,100000,1000,filter1,8,1169500.00
1,100000,1000,filter1,8,1193500.00
2,100000,1000,filter1,8,1208800.00
3,100000,1000,filter1,8,1171800.00
4,100000,1000,filter1,8,1247801.00
0,100000,1000,filter2,1,1132900.00
1,100000,1000,filter2,1,1238600.00
2,100000,1000,filter2,1,1208700.00
3,100000,1000,filter2,1,1130200.00
4,100000,1000,filter2,1,1069900.00
0,100000,1000,filter2,2,1146800.00
1,100000,1000,filter2,2,1170200.00
2,100000,1000,filter2,2,1067100.00
3,100000,1000,filter2,2,767100.00
4,100000,1000,filter2,2,879200.00
0,100000,1000,filter2,4,810300.00
1,100000,1000,filter2,4,775700.00
2,100000,1000,filter2,4,724500.00
3,100000,1000,filter2,4,826000.00
4,100000,1000,filter2,4,733400.00
0,100000,1000,filter2,8,798300.00
1,100000,1000,filter2,8,806100.00
2,100000,1000,filter2,8,1348800.00
3,100000,1000,filter2,8,894400.00
4,100000,1000,filter2,8,785700.00
0,100000,1000,filter3,1,591700.00
1,100000,1000,filter3,1,548500.00
2,100000,1000,filter3,1,649400.00
3,100000,1000,filter3,1,500700.00
4,100000,1000,filter3,1,484800.00
0,100000,1000,filter3,2,825100.00
1,100000,1000,filter3,2,641800.00
2,100000,1000,filter3,2,667300.00
3,100000,1000,filter3,2,546500.00
4,100000,1000,filter3,2,597500.00
0,100000,1000,filter3,4,650800.00
1,100000,1000,filter3,4,660100.00
2,100000,1000,filter3,4,658000.00
3,100000,1000,filter3,4,662800.00
4,100000,1000,filter3,4,654600.00
0,100000,1000,filter3,8,848900.00
1,100000,1000,filter3,8,844600.00
2,100000,1000,filter3,8,844500.00
3,100000,1000,filter3,8,823400.00
4,100000,1000,filter3,8,816000.00
0,100000,1000,filter4,1,356100.00
1,100000,1000,filter4,1,255200.00
2,100000,1000,filter4,1,242100.00
3,100000,1000,filter4,1,237400.00
4,100000,1000,filter4,1,235700.00
0,100000,1000,filter4,2,3121800.00
1,100000,1000,filter4,2,622000.00
2,100000,1000,filter4,2,542900.00
3,100000,1000,filter4,2,531400.00
4,100000,1000,filter4,2,563500.00
0,100000,1000,filter4,4,927300.00
1,100000,1000,filter4,4,875500.00
2,100000,1000,filter4,4,858300.00
3,100000,1000,filter4,4,845500.00
4,100000,1000,filter4,4,893400.00
0,100000,1000,filter4,8,1601000.00
1,100000,1000,filter4,8,1814400.00
2,100000,1000,filter4,8,1534800.00
3,100000,1000,filter4,8,1795700.00
4,100000,1000,filter4,8,1557000.00
0,100000,10000,filter1,1,732600.00
1,100000,10000,filter1,1,673200.00
2,100000,10000,filter1,1,633800.00
3,100000,10000,filter1,1,632700.00
4,100000,10000,filter1,1,643900.00
0,100000,10000,filter1,2,709300.00
1,100000,10000,filter1,2,893600.00
2,100000,10000,filter1,2,1068200.00
3,100000,10000,filter1,2,815600.00
4,100000,10000,filter1,2,768100.00
0,100000,10000,filter1,4,1013300.00
1,100000,10000,filter1,4,777900.00
2,100000,10000,filter1,4,773900.00
3,100000,10000,filter1,4,758100.00
4,100000,10000,filter1,4,807500.00
0,100000,10000,filter1,8,833400.00
1,100000,10000,filter1,8,851600.00
2,100000,10000,filter1,8,1194600.00
3,100000,10000,filter1,8,1034400.00
4,100000,10000,filter1,8,1079500.00
0,100000,10000,filter2,1,835100.00
1,100000,10000,filter2,1,796100.00
2,100000,10000,filter2,1,754800.00
3,100000,10000,filter2,1,1253400.00
4,100000,10000,filter2,1,1247300.00
0,100000,10000,filter2,2,992400.00
1,100000,10000,filter2,2,741600.00
2,100000,10000,filter2,2,779400.00
3,100000,10000,filter2,2,772000.00
4,100000,10000,filter2,2,730601.00
0,100000,10000,filter2,4,790600.00
1,100000,10000,filter2,4,757900.00
2,100000,10000,filter2,4,829100.00
3,100000,10000,filter2,4,927200.00
4,100000,10000,filter2,4,1204600.00
0,100000,10000,filter2,8,1098800.00
