trial,nrows,nbins,filter,sketch_size,time (ns)
3,100000,10000,filter3,4,568600.00
4,100000,10000,filter3,4,558500.00
0,100000,10000,filter3,8,839900.00
1,100000,10000,filter3,8,1014800.00
2,100000,10000,filter3,8,1496100.00
3,100000,10000,filter3,8,889300.00
4,100000,10000,filter3,8,832600.00
0,1000000,10,filter1,1,6770700.00
1,1000000,10,filter1,1,6509600.00
2,1000000,10,filter1,1,7561100.00
3,1000000,10,filter1,1,6609700.00
4,1000000,10,filter1,1,7094100.00
0,1000000,10,filter1,2,8805100.00
1,1000000,10,filter1,2,8908500.00
2,1000000,10,filter1,2,8545000.00
3,1000000,10,filter1,2,8981300.00
4,1000000,10,filter1,2,8677100.00
0,1000000,10,filter1,4,15340700.00
1,1000000,10,filter1,4,15322600.00
2,1000000,10,filter1,4,17019600.00
3,1000000,10,filter1,4,16123800.00
4,1000000,10,filter1,4,15648500.00
0,1000000,10,filter1,8,30501701.00
1,1000000,10,filter1,8,29661600.00
2,1000000,10,filter1,8,29629600.00
3,1000000,10,filter1,8,29347500.00
4,1000000,10,filter1,8,28842000.00
0,1000000,10,filter2,1,6714000.00
1,1000000,10,filter2,1,6677300.00
2,1000000,10,filter2,1,6990000.00
3,1000000,10,filter2,1,6609300.00
4,1000000,10,filter2,1,7214900.00
0,1000000,10,filter2,2,8868600.00
1,1000000,10,filter2,2,8604300.00
2,1000000,10,filter2,2,8807900.00
3,1000000,10,filter2,2,8573300.00
4,1000000,10,filter2,2,8604900.00
0,1000000,10,filter2,4,17450700.00
1,1000000,10,filter2,4,20053200.00
2,1000000,10,filter2,4,17579200.00
3,1000000,10,filter2,4,18476900.00
4,1000000,10,filter2,4,18121200.00
0,1000000,10,filter2,8,35376201.00
1,1000000,10,filter2,8,33827100.00
2,1000000,10,filter2,8,33489500.00
3,1000000,10,filter2,8,34599000.00
4,1000000,10,filter2,8,33898000.00
0,1000000,10,filter3,1,8335700.00
1,1000000,10,filter3,1,8143400.00
2,1000000,10,filter3,1,7597100.00
